id_aero,nom_aero,ville_aero,pays_aero,gmt_aero
706,Anderstorp Airport,Anderstorp,Sweden,1
707,Kalmar Airport,Kalkmar,Sweden,1
708,Malmö Sturup Airport,Malmoe,Sweden,1
709,Halmstad Airport,Halmstad,Sweden,1
710,Hagshult Air Base,Hagshult,Sweden,1
711,Växjö Kronoberg Airport,Vaxjo,Sweden,1
712,Hallviken Airport,Hallviken,Sweden,1
713,Hedlanda Airport,Hede,Sweden,1
714,Sveg Airport,Sveg,Sweden,1
715,Gällivare Airport,Gallivare,Sweden,1
716,Hudiksvall Airport,Hudiksvall,Sweden,1
717,Jokkmokk Airport,Jokkmokk,Sweden,1
718,Kramfors Sollefteå Airport,Kramfors,Sweden,1
719,Lycksele Airport,Lycksele,Sweden,1
720,Optand Airport,Optand,Sweden,1
721,Sundsvall-Härnösand Airport,Sundsvall,Sweden,1
722,Örnsköldsvik Airport,Ornskoldsvik,Sweden,1
723,Piteå Airport,Pitea,Sweden,1
724,Kiruna Airport,Kiruna,Sweden,1
725,Orsa Airport,Orsa,Sweden,1
726,Skellefteå Airport,Skelleftea,Sweden,1
727,Sättna Airport,Sattna,Sweden,1
728,Umeå Airport,Umea,Sweden,1
729,Vilhelmina Airport,Vilhelmina,Sweden,1
730,Arvidsjaur Airport,Arvidsjaur,Sweden,1
731,Örebro Airport,Orebro,Sweden,1
733,Stockholm Västerås Airport,Vasteras,Sweden,1
734,Luleå Airport,Lulea,Sweden,1
735,Vidsel Air Base,Vidsel,Sweden,1
736,Arboga Airport,Arboga,Sweden,1
737,Stockholm-Arlanda Airport,Stockholm,Sweden,1
738,Stockholm-Bromma Airport,Stockholm,Sweden,1
739,Borlange Airport,Borlange,Sweden,1
740,Hultsfred Airport,Hultsfred,Sweden,1
741,Gävle Sandviken Airport,Gavle,Sweden,1
742,Linköping City Airport,Linkoeping,Sweden,1
743,Norrköping Airport,Norrkoeping,Sweden,1
745,Eskilstuna Airport,Eskilstuna,Sweden,1
746,Visby Airport,Visby,Sweden,1
748,Kalixfors Airport,Kalixfors,Sweden,1
750,Spangdahlem Air Base,Spangdahlem,Germany,1
751,Ramstein Air Base,Ramstein,Germany,1
